build_id,ship_name,upgrade_name
54,Imperial II-class Star Destroyer (120),Flight Controllers (6)
54,Imperial II-class Star Destroyer (120),Expanded Hangar Bay (5)
54,Imperial II-class Star Destroyer (120),Early Warning System (7)
54,Imperial II-class Star Destroyer (120),Spinal Armament (9)
55,Gladiator I-class Star Destroyer (56),Seventh Fleet Star Destroyer (5)
55,Gladiator I-class Star Destroyer (56),Projection Experts (6)
56,Imperial II-class Star Destroyer (120),Captain Needa (2)
56,Imperial II-class Star Destroyer (120),Gunnery Team (7)
56,Imperial II-class Star Destroyer (120),Reserve Hangar Deck (4)
56,Imperial II-class Star Destroyer (120),Electronic Countermeasures (7)
56,Imperial II-class Star Destroyer (120),Point Defense Ion Cannons (6)
57,Quasar Fire I-class Cruiser-Carrier (54),Squall (7)
57,Quasar Fire I-class Cruiser-Carrier (54),Flight Controllers (6)
57,Quasar Fire I-class Cruiser-Carrier (54),Boosted Comms (4)
57,Quasar Fire I-class Cruiser-Carrier (54),Expanded Hangar Bay (5)
58,Gozanti-class Cruisers (23),Comms Net (2)
59,Victory II-class Star Destroyer (80),Admiral Ozzel (20)
59,Victory II-class Star Destroyer (80),Harrow (3)
59,Victory II-class Star Destroyer (80),Minister Tua (2)
59,Victory II-class Star Destroyer (80),Engine Techs (8)
59,Victory II-class Star Destroyer (80),Veteran Gunners (5)
59,Victory II-class Star Destroyer (80),Electronic Countermeasures (7)
59,Victory II-class Star Destroyer (80),Disposable Capacitors (3)
59,Victory II-class Star Destroyer (80),Heavy Ion Emplacements (9)
59,Victory II-class Star Destroyer (80),Quad Battery Turrets (5)
60,Gladiator I-class Star Destroyer (56),Demolisher (10)
60,Gladiator I-class Star Destroyer (56),Commander Beck (3)
60,Gladiator I-class Star Destroyer (56),Ordnance Experts (4)
60,Gladiator I-class Star Destroyer (56),Engine Techs (8)
60,Gladiator I-class Star Destroyer (56),External Racks (4)
61,Gozanti-class Cruisers (23),Darth Vader (4)
61,Gozanti-class Cruisers (23),Comms Net (2)
62,Gozanti-class Cruisers (23),Hondo Ohnaka (2)
62,Gozanti-class Cruisers (23),Reserve Hangar Deck (4)
63,MC30c Scout Frigate (69),Caitken and Shollan (6)
64,CR90 Corvette A (44),Liberator (2)
64,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
64,CR90 Corvette A (44),Entrapment Formation! (5)
65,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
66,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
67,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
68,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
69,GR-75 Medium Transports (18),Slicer Tools (7)
70,Venator II-class Star Destroyer (100),Adi Gallia (3)
70,Venator II-class Star Destroyer (100),Flight Controllers (6)
70,Venator II-class Star Destroyer (100),Flag Bridge (0)
70,Venator II-class Star Destroyer (100),Thermal Shields (5)
70,Venator II-class Star Destroyer (100),DBY-827 Heavy Turbolasers (3)
70,Venator II-class Star Destroyer (100),Mercy Mission (5)
71,Acclamator II-class Assault Ship (71),Implacable (4)
71,Acclamator II-class Assault Ship (71),Clone Navigation Officer (4)
71,Acclamator II-class Assault Ship (71),Clone Gunners (4)
71,Acclamator II-class Assault Ship (71),Thermal Shields (5)
71,Acclamator II-class Assault Ship (71),External Racks (4)
71,Acclamator II-class Assault Ship (71),Linked Turbolaser Towers (7)
72,Consular-class Armed Cruiser (37),Swift Return (3)
72,Consular-class Armed Cruiser (37),Fighter Coordination Team (3)
73,Raider I-class Corvette (44),Corvus (2)
73,Raider I-class Corvette (44),Hondo Ohnaka (2)
74,Quasar Fire I-class Cruiser-Carrier (54),Squall (7)
74,Quasar Fire I-class Cruiser-Carrier (54),Skilled First Officer (1)
74,Quasar Fire I-class Cruiser-Carrier (54),Flight Controllers (6)
74,Quasar Fire I-class Cruiser-Carrier (54),Boosted Comms (4)
75,Arquitens-class Command Cruiser (55),Centicore (3)
75,Arquitens-class Command Cruiser (55),Captain Needa (2)
75,Arquitens-class Command Cruiser (55),Engine Techs (8)
76,Gozanti-class Cruisers (23),Comms Net (2)
77,Gozanti-class Cruisers (23),Comms Net (2)
78,Assault Frigate Mark II B (72),Raymus Antilles (7)
78,Assault Frigate Mark II B (72),Boarding Troopers (3)
78,Assault Frigate Mark II B (72),Electronic Countermeasures (7)
78,Assault Frigate Mark II B (72),Dual Turbolaser Turrets (4)
79,CR90 Corvette A (44),Jaina's Light (5)
79,CR90 Corvette A (44),Ahsoka Tano (2)
79,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
80,Hammerhead Torpedo Corvette (36),Ezra Bridger (3)
80,Hammerhead Torpedo Corvette (36),Shriv Suurgav (4)
80,Hammerhead Torpedo Corvette (36),External Racks (4)
81,GR-75 Medium Transports (18),Bright Hope (2)
81,GR-75 Medium Transports (18),Toryn Farr (7)
81,GR-75 Medium Transports (18),Slicer Tools (7)
82,Recusant-class Support Destroyer (90),Patriot Fist (6)
82,Recusant-class Support Destroyer (90),Tikkes (2)
82,Recusant-class Support Destroyer (90),Flight Controllers (6)
82,Recusant-class Support Destroyer (90),Boosted Comms (4)
82,Recusant-class Support Destroyer (90),Expanded Hangar Bay (5)
82,Recusant-class Support Destroyer (90),XX-9 Turbolasers (2)
83,Hardcell-class Transport (47),Foreman's Labor (5)
83,Hardcell-class Transport (47),San Hill (3)
83,Hardcell-class Transport (47),Veteran Captain (2)
83,Hardcell-class Transport (47),Medical Team (1)
83,Hardcell-class Transport (47),Bomber Command Center (8)
84,Hardcell-class Battle Refit (50),Reserve Hangar Deck (4)
84,Hardcell-class Battle Refit (50),Dual Turbolaser Turrets (4)
85,MC80 Battle Cruiser (103),Mon Karren (6)
85,MC80 Battle Cruiser (103),Major Derlin (7)
85,MC80 Battle Cruiser (103),Caitken and Shollan (6)
85,MC80 Battle Cruiser (103),Auxiliary Shields Team (3)
85,MC80 Battle Cruiser (103),Point Defense Ion Cannons (6)
85,MC80 Battle Cruiser (103),Spinal Armament (9)
85,MC80 Battle Cruiser (103),Turbolaser Reroute Circuits (7)
86,CR90 Corvette A (44),Tantive IV (3)
86,CR90 Corvette A (44),Ahsoka Tano (2)
86,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
87,GR-75 Medium Transports (18),Toryn Farr (7)
87,GR-75 Medium Transports (18),Munitions Resupply (3)
88,Pelta-class Transport Frigate (45),Fighter Coordination Team (3)
88,Pelta-class Transport Frigate (45),Electronic Countermeasures (7)
88,Pelta-class Transport Frigate (45),Parts Resupply (3)
89,Pelta-class Transport Frigate (45),Hondo Ohnaka (2)
89,Pelta-class Transport Frigate (45),Fighter Coordination Team (3)
89,Pelta-class Transport Frigate (45),Bomber Command Center (8)
90,Pelta-class Medical Frigate (49),Clone Navigation Officer (4)
90,Pelta-class Medical Frigate (49),Fighter Coordination Team (3)
90,Pelta-class Medical Frigate (49),Boosted Comms (4)
91,Pelta-class Medical Frigate (49),Fighter Coordination Team (3)
91,Pelta-class Medical Frigate (49),Expanded Hangar Bay (5)
92,Recusant-class Support Destroyer (90),Rune Haako (4)
92,Recusant-class Support Destroyer (90),Flight Controllers (6)
92,Recusant-class Support Destroyer (90),Boosted Comms (4)
92,Recusant-class Support Destroyer (90),Reserve Hangar Deck (4)
92,Recusant-class Support Destroyer (90),Dual Turbolaser Turrets (4)
93,Recusant-class Support Destroyer (90),Patriot Fist (6)
93,Recusant-class Support Destroyer (90),Tikkes (2)
93,Recusant-class Support Destroyer (90),Flight Controllers (6)
93,Recusant-class Support Destroyer (90),Boosted Comms (4)
93,Recusant-class Support Destroyer (90),Reserve Hangar Deck (4)
93,Recusant-class Support Destroyer (90),Dual Turbolaser Turrets (4)
94,MC30c Scout Frigate (69),Foresight (10)
94,MC30c Scout Frigate (69),Lando Calrissian (4)
94,MC30c Scout Frigate (69),Caitken and Shollan (6)
94,MC30c Scout Frigate (69),Electronic Countermeasures (7)
94,MC30c Scout Frigate (69),External Racks (4)
94,MC30c Scout Frigate (69),Turbolaser Reroute Circuits (7)
95,MC30c Torpedo Frigate (63),Admonition (10)
95,MC30c Torpedo Frigate (63),Expert Shield Tech (5)
95,MC30c Torpedo Frigate (63),Ordnance Experts (4)
95,MC30c Torpedo Frigate (63),Advanced Projectors (6)
95,MC30c Torpedo Frigate (63),External Racks (4)
95,MC30c Torpedo Frigate (63),H9 Turbolasers (8)
96,Nebulon-B Support Refit (51),Redemption (5)
96,Nebulon-B Support Refit (51),Ahsoka Tano (2)
96,Nebulon-B Support Refit (51),Projection Experts (6)
97,CR90 Corvette A (44),Jaina's Light (5)
97,CR90 Corvette A (44),Ezra Bridger (3)
97,CR90 Corvette A (44),Projection Experts (6)
97,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
98,GR-75 Medium Transports (18),Bright Hope (2)
98,GR-75 Medium Transports (18),Hondo Ohnaka (2)
98,GR-75 Medium Transports (18),Parts Resupply (3)
99,Providence-class Carrier (102),Invincible (5)
99,Providence-class Carrier (102),Rune Haako (4)
99,Providence-class Carrier (102),Thermal Shields (5)
99,Providence-class Carrier (102),Electronic Countermeasures (7)
99,Providence-class Carrier (102),Reserve Hangar Deck (4)
99,Providence-class Carrier (102),External Racks (4)
99,Providence-class Carrier (102),Leading Shots (5)
99,Providence-class Carrier (102),H9 Turbolasers (8)
99,Providence-class Carrier (102),Intensify Firepower! (6)
100,Recusant-class Light Destroyer (85),Patriot Fist (6)
100,Recusant-class Light Destroyer (85),Shu Mai (4)
100,Recusant-class Light Destroyer (85),Ordnance Experts (4)
100,Recusant-class Light Destroyer (85),Reserve Hangar Deck (4)
100,Recusant-class Light Destroyer (85),Assault Concussion Missiles (5)
100,Recusant-class Light Destroyer (85),Swivel-Mount Batteries (8)
101,Hardcell-class Transport (47),Beast of Burden (6)
101,Hardcell-class Transport (47),Parts Resupply (3)
102,Imperial II-class Star Destroyer (120),Chimaera (4)
102,Imperial II-class Star Destroyer (120),Expert Shield Tech (5)
102,Imperial II-class Star Destroyer (120),Gunnery Team (7)
102,Imperial II-class Star Destroyer (120),Early Warning System (7)
102,Imperial II-class Star Destroyer (120),Point Defense Ion Cannons (6)
102,Imperial II-class Star Destroyer (120),XI7 Turbolasers (6)
102,Imperial II-class Star Destroyer (120),Entrapment Formation! (5)
103,Imperial II-class Star Destroyer (120),Sovereign (4)
103,Imperial II-class Star Destroyer (120),Expert Shield Tech (5)
103,Imperial II-class Star Destroyer (120),Boarding Troopers (3)
103,Imperial II-class Star Destroyer (120),Early Warning System (7)
103,Imperial II-class Star Destroyer (120),Point Defense Ion Cannons (6)
103,Imperial II-class Star Destroyer (120),XI7 Turbolasers (6)
104,Gozanti-class Cruisers (23),Suppressor (4)
104,Gozanti-class Cruisers (23),Hondo Ohnaka (2)
104,Gozanti-class Cruisers (23),Munitions Resupply (3)
105,Gozanti-class Cruisers (23),Darth Vader (4)
105,Gozanti-class Cruisers (23),Comms Net (2)
106,Interdictor Suppression Refit (90),Admiral Ozzel (20)
106,Interdictor Suppression Refit (90),Captain Brunson (9)
106,Interdictor Suppression Refit (90),Fighter Coordination Team (3)
106,Interdictor Suppression Refit (90),Proximity Mines (4)
106,Interdictor Suppression Refit (90),Point Defense Ion Cannons (6)
106,Interdictor Suppression Refit (90),Grav Shift Reroute (2)
106,Interdictor Suppression Refit (90),Targeting Scrambler (5)
107,Interdictor Suppression Refit (90),Captain Needa (2)
107,Interdictor Suppression Refit (90),Fighter Coordination Team (3)
107,Interdictor Suppression Refit (90),Proximity Mines (4)
107,Interdictor Suppression Refit (90),Point Defense Ion Cannons (6)
107,Interdictor Suppression Refit (90),G7-X Grav Well Projector (2)
107,Interdictor Suppression Refit (90),Targeting Scrambler (5)
108,Gozanti-class Cruisers (23),Parts Resupply (3)
109,CR90 Corvette B (39),Major Derlin (7)
109,CR90 Corvette B (39),Electronic Countermeasures (7)
109,CR90 Corvette B (39),Point Defense Ion Cannons (6)
110,MC75 Ordnance Cruiser (95),Intel Officer (7)
110,MC75 Ordnance Cruiser (95),Ordnance Experts (4)
110,MC75 Ordnance Cruiser (95),Electronic Countermeasures (7)
110,MC75 Ordnance Cruiser (95),External Racks (4)
110,MC75 Ordnance Cruiser (95),Assault Proton Torpedoes (4)
111,GR-75 Medium Transports (18),Bright Hope (2)
111,GR-75 Medium Transports (18),Hondo Ohnaka (2)
111,GR-75 Medium Transports (18),Slicer Tools (7)
112,GR-75 Medium Transports (18),Ezra Bridger (3)
112,GR-75 Medium Transports (18),Comms Net (2)
113,Providence-class Dreadnought (97),Invincible (5)
113,Providence-class Dreadnought (97),Rune Haako (4)
113,Providence-class Dreadnought (97),Flight Controllers (6)
113,Providence-class Dreadnought (97),Hardened Bulkheads (5)
113,Providence-class Dreadnought (97),Thermal Shields (5)
113,Providence-class Dreadnought (97),External Racks (4)
113,Providence-class Dreadnought (97),Leading Shots (5)
113,Providence-class Dreadnought (97),XI7 Turbolasers (6)
113,Providence-class Dreadnought (97),XX-9 Turbolasers (2)
114,Recusant-class Light Destroyer (85),Patriot Fist (6)
114,Recusant-class Light Destroyer (85),Shu Mai (4)
114,Recusant-class Light Destroyer (85),Veteran Gunners (5)
114,Recusant-class Light Destroyer (85),Assault Proton Torpedoes (4)
114,Recusant-class Light Destroyer (85),Swivel-Mount Batteries (8)
115,Gozanti-class Cruisers {CIS} (24),Tikkes (2)
116,Providence-class Carrier {REB} (95),Raymus Antilles (7)
116,Providence-class Carrier {REB} (95),Walex Blissex (5)
116,Providence-class Carrier {REB} (95),Ordnance Experts (4)
116,Providence-class Carrier {REB} (95),Boarding Troopers (3)
116,Providence-class Carrier {REB} (95),Auxiliary Shields Team (3)
116,Providence-class Carrier {REB} (95),Engine Techs (8)
116,Providence-class Carrier {REB} (95),Flak Guns (3)
117,CR90 Corvette A (44),Jaina's Light (5)
117,CR90 Corvette A (44),Ezra Bridger (3)
117,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
118,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
119,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
120,GR-75 Medium Transports (18),Ahsoka Tano (2)
120,GR-75 Medium Transports (18),Comms Net (2)
121,GR-75 Medium Transports (18),Quantum Storm (1)
121,GR-75 Medium Transports (18),Lando Calrissian (4)
121,GR-75 Medium Transports (18),Slicer Tools (7)
122,Imperial Star Destroyer Cymoon 1 Refit (112),Sovereign (4)
122,Imperial Star Destroyer Cymoon 1 Refit (112),Commander Beck (3)
122,Imperial Star Destroyer Cymoon 1 Refit (112),Gunnery Team (7)
122,Imperial Star Destroyer Cymoon 1 Refit (112),Dual Turbolaser Turrets (4)
122,Imperial Star Destroyer Cymoon 1 Refit (112),XX-9 Turbolasers (2)
122,Imperial Star Destroyer Cymoon 1 Refit (112),Intensify Firepower! (6)
123,Gladiator I-class Star Destroyer (56),Demolisher (10)
123,Gladiator I-class Star Destroyer (56),Skilled First Officer (1)
123,Gladiator I-class Star Destroyer (56),Ordnance Experts (4)
123,Gladiator I-class Star Destroyer (56),Engine Techs (8)
123,Gladiator I-class Star Destroyer (56),Assault Proton Torpedoes (4)
